type,brand,name,price,external_sku,internal_sku,simular_sku,tracked_sku
telescopes,Carson,Carson AIM 50mm Refractor Telescope,135.99,COMTEL50,0,0,FALSE
telescopes,Meade,Meade Infinity 50mm f/13.3 AZ Refractor Telescope,188.99,209001,0,0,FALSE
telescopes,Tasco,Tasco Luminova 660x 60mm AZ Refractor Telescope,227.99,TT40060660,0,214104,FALSE
telescopes,Meade,Meade Infinity 70mm AZ Refractor Telescope,278.99,209003,0,214110,FALSE
telescopes,Meade,Meade Infinity 60mm f/13.3 AZ Refractor Telescope,239.99,209002,0,214104,FALSE
telescopes,Konus,Konuspace-4 50mm AZ Refractor Telescope,140.99,KS1729,0,0,FALSE
telescopes,Celestron,Celestron StarSense Explorer LT 70mm AZ Refractor Telescope,575.99,22450-B,22450,0,FALSE
telescopes,Celestron,Celestron StarSense Explorer LT 114mm AZ Newtonian Reflector Telescope,598.99,22452-B,22452,0,FALSE
telescopes,Tasco,Tasco Spacestation 60mm AZ Refractor Telescope,298.99,TT49060700,0,214104,FALSE
telescopes,Celestron,Celestron StarSense Explorer LT 127mm AZ Newtonian Reflector Telescope,648.99,22453-B,22453,0,FALSE
telescopes,Celestron,Celestron Powerseeker 60mm AZ Refractor Telescope,298.99,21041,0,214104,FALSE
telescopes,Tasco,Tasco Luminova 675x 114mm EQ Reflector Telescope,599.99,TT40114675,0,224103,FALSE
telescopes,Tasco,Tasco Luminova 675x 60mm AZ Refractor Telescope,379.99,TT40060675,0,214104,FALSE
telescopes,Sky-Watcher,Skywatcher 150mm EQ3 Reflector Telescope,1398.99,SW15075EQ3,0,0,TRUE
telescopes,Sky-Watcher,Sky-Watcher 120mm AZ3 Refractor Telescope,1198.99,SW1206AZ3,SW1206AZ3,0,FALSE
telescopes,Sky-Watcher,Sky-Watcher 150mm / 6” Dobsonian AZ Telescope,594.99,TD150,SWDOB150,239106,FALSE
telescopes,Sky-Watcher,Sky-Watcher 102mm AZ3 Refractor Telescope,798.99,TR102AS or SW1025AZ3,SW1025AZ3,0,FALSE
telescopes,Sky-Watcher,Sky-Watcher 200mm / 8” Collapsible Dobsonian AZ GoTo Telescope,2427.99,SWDOB200CGT,0,0,FALSE
telescopes,Carson,Carson SkeleScope 76mm f/4.7 AZ Reflector Telescope ,199.99,COSK100,0,0,FALSE
telescopes,Meade,Meade 90mm ETX 90PE AZ Telescope,1999.99,TM90M,0,0,FALSE
telescopes,Celestron,Celestron AstroMaster 130mm EQ Reflector Telescope,704.99,31045-J,31045,0,FALSE
telescopes,Meade,Meade Infinity 102mm AZ Refractor Telescope,748.99,209006,0,0,FALSE
telescopes,Tasco,Tasco Spacestation 70mm AZ Refractor Telescope,369.99,TT49070800,0,214110,FALSE
telescopes,Sky-Watcher,Sky-Watcher 200mm / 8” Dobsonian AZ Telescope,946.99,SWDOB200,SWDOB200,239108,FALSE
telescopes,Celestron,Celestron FirstScope Tabletop 76mm Reflector Telescope (Robert Reeves Edition),203.99,22016,22016,0,FALSE
telescopes,Celestron,Celestron StarSense Explorer DX 130mm AZ Newtonian Reflector Telescope,1158.99,22461-J,22461,0,FALSE
telescopes,Tasco,Tasco Spacestation 114mm AZ Reflector Telescope,465.99,TT49114500,0,224103,FALSE
telescopes,Konus,Konus KonusNova 114mm Reflector Telescope,448.99,KO1756,0,224103,FALSE
telescopes,Vixen,Vixen Porta II-R130SF 130mm AZ Reflector Telescope,1498.99,VX39954,0,0,FALSE
telescopes,Vixen,Vixen Porta A80MF 80mm AZ Refractor Telescope,1498.99,VX39952,0,0,FALSE
telescopes,Vixen,Vixen Porta A70LF 70mm AZ Refractor Telescope,1048.99,VX39905,0,0,FALSE
telescopes,Accura,Accura Traveler 80mm Refractor Telescope,447.99,ACTR80R,0,219201,FALSE
telescopes,Accura,Accura Traveler 70mm Refractor Telescope,269.99,ACTR70R,0,219201,FALSE
telescopes,Sky-Watcher,SkyWatcher Heritage 76mm Dobsonian Table-Top Telescope (Black or Special Edition),248.99,SWDOB76,0,239102,FALSE
telescopes,Sky-Watcher,Sky-Watcher Heritage 130mm Dobsonian Table Top Telescope,528.99,SWDOB130,0,0,FALSE
telescopes,Celestron,"Celestron StarSense Explorer DX 5"" 125mm AZ Reflector Telescope",1633.99,22462,22462,,FALSE
telescopes,Celestron,Celestron AstroMaster 130mm EQ Reflector Telescope (Smart Phone Adapter),798.99,32044,0,31045,FALSE
telescopes,Celestron,Celestron Astromaster LT 70mm AZ Refractor Telescope (F900),446.99,22064-J,22064,214110,FALSE
telescopes,Celestron,Celestron Astromaster LT 70mm AZ Refractor Telescope (F700),499.99,22068-B,22068,0,FALSE
telescopes,Celestron,Celestron StarSense Explorer LT 80mm AZ Refractor Telescope,648.99,22451,22451,0,FALSE
telescopes,Konus,Konus KonuStart 900B 60mm EQ Refractor Telescope,448.99,KS1738,0,214104,FALSE
telescopes,Konus,Konuspace-6 60mm AZ Refractor Telescope,188.99,KS1743,,214104,FALSE
telescopes,Konus,Konus KonuStart 700B 60mm AZ Refractor Telescope,248.99,KS1737,,214104,FALSE
telescopes,Konus,Konus KonusNova 70 70mm AZ Refractor Telescope,298.99,KS1755,,214110,FALSE
telescopes,Celestron,Celestron StarSense Explorer DX 102mm AZ Refractor Telescope,1172.99,22460-J,22460,,FALSE
telescopes,Sky-Watcher,Sky-Watcher 200mm / 8” Collapsible Dobsonian AZ Telescope,1453.99,SWDOB200C,0,0,FALSE
telescopes,Celestron,Celestron Ambassador 80mm AZ Brass Refractor Telescope,2988.99,21034,0,0,FALSE
telescopes,Sky-Watcher,Skywatcher 114mm EQ Reflector Telescope,459.99,TN114ES,0,221101,FALSE
telescopes,Sky-Watcher,Sky-Watcher 254mm / 10” Dobsonian AZ Telescope,1276.99,SWDOB250,SWDOB250,239110,FALSE
binoculars,Carson,"Carson AdventurePak Kids Binocular, Compass and Torch Set",77.99,COHU401,0,0,FALSE
binoculars,Carson,Carson Hawke 5x30 Kids Binocular,54.99,COHU530,0,0,FALSE
binoculars,Bushnell,Bushnell H2O 2 10x25 Roof Binoculars,139.99,BB130105R,0,0,FALSE
binoculars,Tasco,Tasco Essentials 8x21 Binoculars,47.99,TB165821,0,0,FALSE
binoculars,Tasco,Tasco Essentials 10x25 Compact Binoculars (5 colours),51.99,TB168125,0,0,FALSE
binoculars,Bushnell,Bushnell Prime 10x42 Binoculars,328.99,BBBP1042B,BBBP1042B,0,FALSE
binoculars,Vortex,Vortex Diamondback HD 12x50 Binoculars,561.99,VODB217,0,0,FALSE
binoculars,Carson,Carson TrailMaxx 10x25 Binoculars,99.99,COTM025,0,0,FALSE
binoculars,Vortex,Vortex Diamondback HD 8x42 Binoculars,489.99,VODB214,0,0,FALSE
binoculars,Vortex,Vortex Diamondback HD 10x42 Binoculars,510.99,VODB215,0,0,FALSE
binoculars,Vortex,Vortex Diamondback HD 10x50 Binoculars,546.99,VODB216,0,0,FALSE
binoculars,Olympus,Olympus 8x21 RC II WP Binoculars (Blue),99.99,OLB5043,0,0,FALSE
binoculars,Tasco,Tasco OffShore 10x25 Binoculars,149.99,TB200125-EOL,0,0,FALSE
binoculars,Vortex,Vortex Crossfire HD 8x42 Binoculars,361.99,VOCF4311,0,0,FALSE
binoculars,Bushnell,Bushnell H2O 2 10x42 Roof Binoculars,283.99,BB150142R,0,0,FALSE
binoculars,Olympus,Olympus 10x25 WP II Binoculars,153.99,OLB5015,0,0,FALSE
