type,brand,name,price,external_sku,internal_sku,simular_sku,tracked_sku
accessories,Astronz,Telescope to Smart Phone Adapter,19,A-PHONE,0,0,FALSE
accessories,Astronz,Newtonian Laser Collimator,95,Z-LC,0,0,TRUE
accessories,Astronz,Ball Head,59,M-BALLQ03,0,0,FALSE
accessories,Astronz,Green Laser Pointer (RESTRICTED ITEM),39,Z-GLAS,0,0,FALSE
accessories,Astronz,NZ Power Supply for Mounts 12V / 2A,20,M-PWRCEM,0,0,FALSE
accessories,Astronz,"Focal Reducer 0.5x 1.25""",32,Z-FR125,0,0,FALSE
accessories,Astronz,"Coma Corrector 2""",149,Z-COMA,0,0,FALSE
accessories,Astronz,NZ Power Supply for AZ Mount Pro,20,M-PWRAZ,0,0,FALSE
accessories,Astronz,"Focal Reducer 0.5x 2""",59,Z-FR2,0,0,FALSE
accessories,Astronz,Focal Reducer 0.75x,149,Z-FRRC75,0,0,FALSE
accessories,Astronz,Quick Release Plate for Heavy Duty Tripod,22,M-TRIHQ,0,0,FALSE
accessories,Astronz,"Focuser Crayford 2"" 10-1 SCT",245,Z-FCRMSCT,0,0,FALSE
accessories,Astronz,Quick Release Plate for Professional Tripod,22,M-TRIQ,0,0,FALSE
accessories,Celestron,Celestron 0.63x Focal Reducer,295,Z-FRC63,0,0,FALSE
accessories,DayStar,DayStar Quark Classic Solar Filter,2575,F-SOLQC,0,0,FALSE
accessories,GSO,"Moon Filter 1.25""",16,F-MOON,0,0,FALSE
accessories,GSO,"Camera Adapter 1.25""",32,A-CA,0,0,FALSE
accessories,GSO,8x50 Right Angle Finder,135,D-F850R,0,0,FALSE
accessories,GSO,"Barlow Lens 2x 1.25""",36,E-BL2,0,0,FALSE
accessories,GSO,"Adapter T2 to 2""",38,A-FF145,0,0,FALSE
accessories,GSO,"Barlow Lens 2x ED 2""",129,E-BL22,0,0,FALSE
accessories,GSO,8x50mm Finder,120,D-F850,0,0,FALSE
accessories,GSO,"Barlow Lens 2.5x 3-element 1.25""",49,E-BL25,0,0,FALSE
accessories,GSO,"Moon Filter 2"" (#58A)",29,F-MOON2,0,0,FALSE
accessories,GSO,"Barlow Lens 3x ED 1.25""",55,E-BL3,0,0,FALSE
accessories,GSO,"Filter #80A Medium Blue 1.25""",13.5,F-180A,0,0,FALSE
accessories,GSO,"Quartz Diagonal 2""",269,Z-MD2Q,0,0,FALSE
accessories,GSO,"Barlow Lens 5x 3-element 1.25""",65,E-BL5,0,0,FALSE
accessories,GSO,Camera Adapter CPL to T2,15,A-CPL42T,0,0,FALSE
accessories,GSO,"Extension Tube 50mm 2""",48,A-ET50S,0,0,FALSE
accessories,GSO,"Filter #25 Red 1.25""",18,F-125,0,0,FALSE
accessories,GSO,"Filter #12 Yellow 1.25""",13.5,F-112,0,0,FALSE
accessories,GSO,"Adapter 1.25"" to 2""",29,A-SC125,0,0,FALSE
accessories,GSO,"Extension Tube 80mm 2""",48,A-ET80S,0,0,FALSE
