type,brand,name,price,external_sku,internal_sku,simular_sku,tracked_sku
binoculars,Apexel,Apexel 8x21 Compact Kids Binocular,59.5,APS-PB8X21Y,0,0,FALSE
binoculars,APM,APM 100mm 45° ED-APO Binoculars with UF 18mm Eyepieces,5249,APMSA100BINO45,0,0,FALSE
binoculars,AstroNZ,Premium 20x80mm Binocular,699,ANZ2080,0,0,FALSE
binoculars,AstroNZ,Premium 25x100mm Binocular,999,ANZ25100,0,0,FALSE
binoculars,Burris,Burris Droptine 10x42mm Binocular,499,BO300291,0,0,FALSE
binoculars,Burris,Burris Droptine 8x42mm Binocular,549.99,BO300290,0,0,FALSE
binoculars,Burris,Burris Signature HD 10x42mm Binocular,1099,BO300293,0,0,FALSE
binoculars,Burris,Burris Signature HD 10x42mm LRF Binocular,2249,BO300299,0,0,FALSE
binoculars,Burris,Burris Signature HD 12x50mm Binocular,1199,BO300294,0,0,FALSE
binoculars,Burris,Burris Signature HD 8x42mm Binocular,999.99,BO300292,0,0,FALSE
binoculars,Bushnell,Bushnell 10x40 Spectator Sport Permafocus Binocular,314.98,BBBS11040,0,0,FALSE
binoculars,Bushnell,Bushnell 10x50 Engage Binoculars w/ Free Bushnell Ultra-Light Binocular Harness,899.98,BBBEN1050,0,0,FALSE
binoculars,Bushnell,Bushnell 10x50 Spectator Sport Permafocus Binocular,223.98,BBBS11050,BBBS11050,0,FALSE
binoculars,Bushnell,Bushnell 12x50 Spectator Sport Permafocus Binocular,289.98,BBBS11250,0,0,FALSE
binoculars,Bushnell,Bushnell 7x35 Spectator Sport Permafocus Binocular,189.98,BBBS1735,BBBS1735,0,FALSE
binoculars,Bushnell,Bushnell 8x25 Spectator Sport Permafocus Binocular,179.98,BBBS1825,BBBS1825,0,FALSE
binoculars,Bushnell,Bushnell 8x32 Spectator Sport Permafocus Binocular,197.98,BBBS1832,0,0,FALSE
binoculars,Bushnell,Bushnell Engage 8x42 Roof Binocular w/Free Ultra-Light Binocular Harness,787.99,BBBEN842-O,0,0,FALSE
binoculars,Bushnell,Bushnell Engage DX 10x42 Binocular w/ Free Bushnell Ultra-Light Binocular Harness,539,BBBENDX1042,0,0,FALSE
binoculars,Bushnell,Bushnell Engage DX 12x50 Binocular w/ Free Bushnell Ultra-Light Binocular Harness,628.99,BBBENDX1250,0,0,FALSE
binoculars,Bushnell,Bushnell Engage EDX 10x42 Binocular w/ Free Bushnell Ultra-Light Binocular Harness,849.98,BBBEN1042,BBBEN1042,0,FALSE
binoculars,Bushnell,Bushnell Engage EDX 12x50 Binocular w/Free Bushnell Ultra-Light Binocular Harness,945.98,BBBEN1250,0,0,FALSE
binoculars,Bushnell,Bushnell Engage EDX 8x42 Binocular w/ Free Bushnell Ultra-Light Binocular Harness,827.98,BBBEN842,0,0,FALSE
binoculars,Bushnell,Bushnell Engage X 10x42 Binocular w/ Free Ultra Light Binocular Harness,399.98,BBBENX1042,0,0,FALSE
binoculars,Bushnell,Bushnell Forge 10x30 Terrain Roof Prism Binocular,669.98,BBBF1030T,0,0,FALSE
binoculars,Bushnell,Bushnell Forge 10x42 Terrain Roof Prism Binocular,925.98,BBBF1042T,0,0,FALSE
binoculars,Bushnell,Bushnell Forge 15x56 Terrain Abbe Koenig Binocular,1277.09,BBBF1556T,0,0,FALSE
binoculars,Bushnell,Bushnell Forge 8x42 Terrain Roof Prism Binocular,894.99,BBBF842T,0,0,FALSE
binoculars,Bushnell,Bushnell Fusion X 10x42 LRF Binocular,1554.98,BRFFX1042AD,0,0,FALSE
binoculars,Bushnell,Bushnell H20 2 10x25 Binocular,139.98,BB130105R,0,0,FALSE
binoculars,Bushnell,Bushnell H20 2 10x42 Binocular,283.98,BB150142R,0,0,FALSE
binoculars,Bushnell,Bushnell H20 2 7x50 Binoculars,268.98,BB157050R,0,0,FALSE
binoculars,Bushnell,Bushnell H20 2 8x42 Binocular,243.98,BB158042R,0,0,FALSE
binoculars,Bushnell,Bushnell Marine 7x50 Waterproof Binocular,408.98,BB137501,BB137501,0,FALSE
binoculars,Bushnell,Bushnell Nitro 10x25 Roof Binocular,549.98,BBBN1025B,0,0,FALSE
binoculars,Bushnell,Bushnell Nitro 10x36 Roof Binocular,649.99,BBBN1036B,0,0,FALSE
binoculars,Bushnell,Bushnell Nitro 10x42 Black Roof Binocular,699.98,BBBN1042B,0,0,FALSE
binoculars,Bushnell,Bushnell Powerview 2 10x25 Binocular,99.98,BBPWV1025,0,0,FALSE
binoculars,Bushnell,Bushnell Powerview 2 10x25 Binocular - No Box,79,BBPWV1025-NoBOX,0,0,FALSE
binoculars,Bushnell,Bushnell Powerview 2 10x42 Binocular,269.98,BBPWV1042,0,0,FALSE
binoculars,Bushnell,Bushnell Powerview 2 10x50 Binocular,199.98,BBPWV1050,0,0,FALSE
binoculars,Bushnell,Bushnell Powerview 2 20x50 Binocular,189.98,BBPWV2050,0,0,FALSE
binoculars,Bushnell,Bushnell Prime 10x25 Roof Prism Binocular,198.99,BBBP1025B,BBBP1025B,0,FALSE
