type,brand,name,price,external_sku,internal_sku,simular_sku,tracked_sku
optics-telescope-accessories,Blaxall & Steven Distributors,"Astrophotography, Smartphone Bracket",79.99,BLST9690,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, 10x25, Explo",42.99,BLST1001,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, 10x25mm Fixed Focus, Konus",54.99,BLST8075,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, 10X25mm, Upclose, Celestron",89.99,BLST8063,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, 10x32mm, Trailseeker, Celestron",620,BLST8067,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, 10x50, Fixed Focus",125,BLST1005,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, 12x32mm, Konus Basics",64.99,BLST8017,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, 20X80mm, Giant Konus",399,BLST8005,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, 8-24x50 Zoom, Konus",199,BLST9623,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, 8x21, Explo",37.99,BLST1009,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, 8x21mm, Konus",34.99,BLST8018,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, 8x32mm, Nature, Celestron",309,BLST8065,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, 8x32mm,Trailseeker, Celestron",599,BLST8066,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, 8x42, Emperor Konus",248,BLST1014,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Bino, Konus Basic,10x25mm",37.99,BLST1557,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Binoculars, 21mm, 8x21, upclose, Celestron",79.99,BLST9725,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Binoculars, 50mm, 10x50, Upclose, Celestron.",179.99,BLST9726,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Binoculars, 7x50, 50mm, Fixed Focus, Konus",89.99,BLST9687,0,0,FALSE
optics-binoculars,Blaxall & Steven Distributors,"Binoculars, Universal Tripod Adapter",29.99,BLST9645,0,0,FALSE
optics-telescope-accessories,Blaxall & Steven Distributors,"Celestron Eyepiece  1.25"" 4mm Omni Plossl",63.99,BLST9721,0,0,FALSE
optics-spottingscopes,Blaxall & Steven Distributors,"Celestron,  60mm, 12-36 Zoom SpottingScope w Smartphone Photagraphy  Kit",359,BLST9688,0,0,FALSE
optics-telescopes,Blaxall & Steven Distributors,"Celestron,  NexStar6SE, 6"", SCT Telescope",3499,BLST9650,0,0,FALSE
optics-telescope-accessories,Blaxall & Steven Distributors,"Celestron, 1.25"", 10mm, Wide Angle, 62 deg Eyepiece",58.99,BLST9713,0,0,FALSE
optics-telescope-accessories,Blaxall & Steven Distributors,"Celestron, 1.25"", 12mm Omni, Plossl Eyepiece",62.99,BLST9708,0,0,FALSE
optics-telescope-accessories,Blaxall & Steven Distributors,"Celestron, 1.25"", 15mm Omni, Plossl Eyepiece",56.99,BLST9707,0,0,FALSE
optics-telescope-accessories,Blaxall & Steven Distributors,"Celestron, 1.25"", 23mm, Wide Angle, 62 deg Eyepiece",72.99,BLST9712,0,0,FALSE
optics-telescope-accessories,Blaxall & Steven Distributors,"Celestron, 1.25"", 2X Barlow  Omni Eyepiece",64.99,BLST9705,0,0,FALSE
optics-telescope-accessories,Blaxall & Steven Distributors,"Celestron, 1.25"", 32mm Omni, Plossl Eyepiece",87.99,BLST9703,0,0,FALSE
