type,brand,name,price,external_sku,internal_sku,simular_sku,tracked_sku
telescopes,Saxon Optics,Saxon Mini Dob 76mm Astronomy Telescope for Kids,199.00,239101,239101,,
telescopes,Celestron,Celestron Robert Reeves Edition FirstScope Tabletop Telescope,199.00,22016,22016,,
telescopes,Saxon Optics,saxon 607-AZ2 Beginners Telescope,249.00,214104,214104,,
telescopes,Saxon Optics,saxon 70mm Hikers Telescope,249.00,219201,219201,,
telescopes,Saxon Optics,Saxon Mini Dob 76mm Astronomy Telescope for Kids - with Accessory Pack,299.00,239102,239102,,
telescopes,Saxon Optics,Saxon 767 Reflector - Beginner Astronomy Telescope,330.00,224101,224101,,
telescopes,Saxon Optics,saxon 707-AZ2 Refractor Telescope,449.00,214110,214110,,
telescopes,Celestron,Celestron StarSense Explorer LT 70AZ - Smartphone app-enabled refractor telescope,469.00,22450,22450,,
telescopes,Celestron,Celestron AstroMaster  70AZ Refractor Telescope with Phone Adapter & Moon Filter,479.00,22064,22064,,
telescopes,Saxon Optics,saxon 1149-EQ Astronomy Reflector Telescope,499.00,221101,221101,,
telescopes,Saxon Optics,saxon 1145-AZ Reflector Telescope,499.00,224103,224103,,
telescopes,Sky-Watcher,"Sky-Watcher 6"" Dobsonian Telescope",595.00,SWDOB150,SWDOB150,,
telescopes,Nova,Nova 1309 EQ2 Reflector Telescope,599.00,ST130900EQ,ST130900EQ,,
telescopes,Celestron,Celestron StarSense Explorer LT 114AZ - Smartphone app-enabled newtonian reflector telescope,599.00,22452,22452,,
telescopes,Saxon Optics,saxon 1309-EQ2 Velocity Reflector Telescope,599.00,222113,222113,,
telescopes,Saxon Optics,saxon 909-AZ3 Refractor Telescope,599.00,214120,214120,,
telescopes,Saxon Optics,saxon 804-AZ3 Pioneer Refractor Telescope,599.00,214117,214117,,
telescopes,Celestron,Celestron StarSense Explorer LT 127AZ - Smartphone app-enabled newtonian reflector telescope,649.00,22453,22453,,
telescopes,Celestron,Celestron StarSense Explorer LT 80AZ - Smartphone app-enabled refractor telescope,649.00,22451,22451,,
telescopes,Nova,Nova 102 mm AZ3 Refractor Telescope,699.00,ST102600,ST102600,,
telescopes,Saxon Optics,"Saxon 6"" Dobsonian Telescope",699.00,239106,239106,,
telescopes,Celestron,Celestron AstroMaster 130EQ Telescope,699.00,31045,31045,,
telescopes,Saxon Optics,saxon 1309-EQ2 Velocity Reflector Telescope with Motor Drive,699.00,222313md,222313md,,
telescopes,Saxon Optics,saxon 1026-AZ3 SC Refractor Telescope with Steel Tripod,749.00,214224,214224,,
telescopes,Celestron,Celestron AstroMaster 130 EQ-MD (Motor Drive) Telescope,799.00,31051,31051,,
telescopes,Sky-Watcher,Sky-Watcher 1025 AZ3 Refractor Telescope,799.00,SW1025AZ3,SW1025AZ3,,
telescopes,Saxon Optics,Saxon 1025 AZ3 Pioneer Refractor Telescope with Smart Phone Adapter,899.00,214124s,214124s,,
telescopes,Sky-Watcher,"Sky-Watcher 8"" Dobsonian Telescope",975.00,SWDOB200,SWDOB200,,
telescopes,Saxon Optics,"Saxon 8"" Dobsonian Telescope",1099.00,239108,239108,,
telescopes,Celestron,Celestron StarSense Explorer DX 102AZ - Smart phone app-enabled refractor telescope,1099.00,22460,22460,,
telescopes,Celestron,Celestron StarSense Explorer DX 130AZ - Smartphone app-enabled newtonian reflector telescope,1099.00,22461,22461,,
telescopes,Sky-Watcher,"Sky-Watcher 10"" Dobsonian Telescope",1180.00,SWDOB250,SWDOB250,,
telescopes,Saxon Optics,Saxon 1206-AZ3 Pioneer Refractor Telescope,1199.00,214127AZ3,214127AZ3,,
telescopes,Sky-Watcher,Sky-Watcher 1206 AZ3 Refractor Telescope,1199.00,SW1206AZ3,SW1206AZ3,,
telescopes,Sky-Watcher,Sky-Watcher 150/750 EQ3 Reflector Telescope with EQ3 Mount,1250.00,SW15075EQ,SW15075EQ,,
telescopes,Saxon Optics,"Saxon 10"" Dobsonian Telescope",1299.00,239110,239110,,
telescopes,Celestron,Celestron Nexstar 4SE Computerised GoTo Telescope,1499.00,11049,11049,,
telescopes,Celestron,"Celestron StarSense Explorer DX 5"" - Smartphone app-enabled Schmidt Cassegrain Telescope",1499.00,22462,22462,,
telescopes,Celestron,"Celestron StarSense Explorer DX 6"" - Smartphone app-enabled Schmidt Cassegrain Telescope",1599.00,22463,22463,,
telescopes,Saxon Optics,saxon 15075 EQ3 Velocity Reflector,1749.00,223101,223101,,
telescopes,Saxon Optics,saxon AstroSeeker 15075 Reflector Telescope [WiFi Enabled with Hand Controller],1999.00,224415,224415,,
telescopes,Celestron,"Celestron StarSense Explorer 8"" Smartphone app-enabled dobsonian telescope",1999.00,22470,22470,,
telescopes,Saxon Optics,Saxon Astroseeker 127mm MAK Cassegrain GoTo Telescope [WiFi Enabled with Hand Controller],2199.00,244412,244412,,
telescopes,Saxon Optics,"Saxon 12"" DeepSky Collapsible Dobsonian Telescope",2499.00,239122,239122,,
telescopes,Celestron,"Celestron StarSense Explorer 10"" Smartphone app-enabled dobsonian telescope",2699.00,22471,22471,,
telescopes,Sky-Watcher,"Sky-Watcher 12"" Collapsible Dobsonian Telescope",2845.00,SWDOB300C,SWDOB300C,,
telescopes,Celestron,Celestron Nexstar 6SE Computerised Telescope,2949.00,11068,11068,,
telescopes,Celestron,"Celestron Nexstar Evolution 6"" 152Mm Schmidt Cassegrain",3899.00,12090,12090,,
telescopes,Celestron,Celestron Nexstar 8SE Computerised Telescope,4099.00,11069,11069,,
telescopes,Sky-Watcher,"Sky-Watcher 12"" Collapsible Dobsonian Telescope with GoTo",4695.00,SWDOB300CGT,SWDOB300CGT,,
telescopes,Celestron,"Celestron Nexstar Evolution 8"" 203mm Schmidt Cassegrain",4999.00,12091,12091,,
telescopes,Celestron,"Celestron Nexstar Evolution 9.25"" 235mm Schmidt Cassegrain Telescope",6795.00,12092,12092,,
sport-optics,Saxon Optics,saxon 10-30x25 Traveller Binoculars,99.00,143023,143023,,
sport-optics,Saxon Optics,saxon 3x25 Opera Glasses with Handle (Red),112.00,150021,150021,,
sport-optics,Saxon Optics,saxon 3x25 Opera Glasses (Red),112.00,150001,150001,,
sport-optics,Saxon Optics,saxon 3x25 Opera Glasses with Light (Gold),112.00,150012,150012,,
sport-optics,Saxon Optics,saxon 3x25 Opera Glasses in Gift Box (Black),112.00,150005,150005,,
sport-optics,Saxon Optics,Saxon 10x25 Traveller Binoculars,150.00,140008,140008,,
sport-optics,Saxon Optics,Saxon 7x50 Wide Angle Binoculars,150.00,131001,131001,,
sport-optics,Bushnell,Bushnell 8x25 Spectator Sport Permafocus Binoculars,189.99,BBBS1825,BBBS1825,,
sport-optics,Bushnell,Bushnell Prime 10x25 Binoculars,199.00,BBBP1025B,BBBP1025B,,
sport-optics,Saxon Optics,Saxon 7x50 Oceanfront Waterproof Binoculars,199.00,135014,135014,,
sport-optics,Nikon,Nikon Sportstar EX 10x25 Central Focus Binocular,209.00,BAA711AA,BAA711AA,,
sport-optics,Nikon,Nikon Aculon A211 8x42  Central Focus Binocular,209.00,BAA811SA,BAA811SA,,
sport-optics,Nikon,Nikon Sportstar EX 8x25 Central Focus Binocular,209.00,BAA710AA,BAA710AA,,
sport-optics,Nikon,Nikon Aculon A211 10x42 Central Focus Binocular,219.00,BAA812SA,BAA812SA,,
sport-optics,Bushnell,Bushnell 7X35 Spectator Sport Permafocus Binoculars,229.00,BBBS1735,BBBS1735,,
sport-optics,Nikon,Nikon Aculon A211 7x50  Central Focus Binocular,229.00,BAA813SA,BAA813SA,,
sport-optics,Celestron,Celestron SkyMaster 15X70MM Porro Binoculars,229.00,71009,71009,,
sport-optics,Saxon Optics,Saxon 10x30 WP,245.00,wp10x30,wp10x30,,
sport-optics,Nikon,Nikon Aculon A211 10x50  Central Focus Binocular,249.99,BAA814SA,BAA814SA,,
sport-optics,Steiner,Steiner Safari Ultrasharp 8x22,269.99,STN4457-0900,STN4457-0900,,
sport-optics,Bushnell,Bushnell 10X50 Spectator Sport Perma Focus,269.99,BBBS11050,BBBS11050,,
sport-optics,Nikon,Nikon Aculon A211 12x50 Central Focus Binocular,299.00,BAA815SA,BAA815SA,,
sport-optics,Nikon,Nikon Aculon A211 16x50  Central Focus Binocular,325.00,BAA816SA,BAA816SA,,
sport-optics,Steiner,Steiner Safari Ultrasharp 10x26,349.99,STN4477-0900,STN4477-0900,,
sport-optics,Bushnell,Bushnell Prime 10x42 Binoculars,349.99,BBBP1042B,BBBP1042B,,
sport-optics,Nikon,Nikon Prostaff 5 Eyepiece 20-60x,349.99,BDB90182,BDB90182,,
sport-optics,Nikon,Nikon Action Extreme 10x50 Waterproof CF Binocular,379.00,BAA663AA,BAA663AA,,
sport-optics,Nikon,Nikon Aculon 10-22x50 Central Focus Binocular,379.99,BAA818SA,BAA818SA,,
sport-optics,Konus,Konus Giant 20x80,385.00,KS2110,KS2110,,
sport-optics,Nikon,Nikon Prostaff 5 8x42,385.99,BAA820SA,BAA820SA,,
sport-optics,Nikon,Nikon Action Extreme 12x50 Waterproof CF Binocular,389.00,BAA664AA,BAA664AA,,
sport-optics,Celestron,Celestron SkyMaster 20X80MM Porro Binoculars,389.00,71018,71018,,
sport-optics,Steiner,Steiner Safari Ultrasharp 8x25,389.99,STN2306-0900,STN2306-0900,,
sport-optics,Steiner,Steiner Safari Ultrasharp 8x30,399.99,STN4406-0900,STN4406-0900,,
sport-optics,Nikon,Nikon Prostaff 5 10x42,409.00,BAA821SA,BAA821SA,,
sport-optics,Bushnell,Bushnell 7x50 Marine Binoculars,409.99,BB137501,BB137501,,
sport-optics,Konus,Konus Konuspot 80C Spotting Scope with Smartphone adapter & tripod -Green,479.00,KS7126,KS7126,,
sport-optics,Konus,Konus Konuspot 80C Spotting Scope with Smartphone adapter & tripod -Black,499.00,KS7126-BK,KS7126-BK,,
sport-optics,Vanguard,Vanguard Endeavor XF 60A Spotting Scope with 15-45X Zoom,499.00,V238043,V238043,,
sport-optics,Saxon Optics,Saxon Focus Free 7x50 Waterproof Binoculars,500.00,144020,144020,,
sport-optics,Nikon,Nikon Marine 7x50 Waterproof CF Binocular,529.00,BAA574AA,BAA574AA,,
sport-optics,Steiner,Steiner Marine 7x50,550.00,STN4841-0909,STN4841-0909,,
sport-optics,Steiner,Steiner Safari Ultrasharp 10x30,599.99,STN4406-0900,STN4406-0900,,
sport-optics,Steiner,Steiner Observer 8×42,649.99,STN2313-0900,STN2313-0900,,
sport-optics,Konus,Konus 20-60x100 Spotting Scope,650.00,KS7122,KS7122,,
sport-optics,Nikon,Nikon Prostaff 5 60A Angled Fieldscope,679.00,BDA323FA,BDA323FA,,
sport-optics,Steiner,Steiner Safari Ultrasharp 10x42,679.99,STN2331-0900,STN2331-0900,,
sport-optics,Steiner,Steiner Navigator Pro 7x30,699.99,STN7645-0900,STN7645-0900,,
sport-optics,Steiner,Steiner Observer 10×42,699.99,STN2314-0900,STN2314-0900,,
sport-optics,Vanguard,Vanguard Endeavor HD 65A Spotting Scope with 15-45X Zoom,729.00,V237978,V237978,,
sport-optics,Bushnell,Bushnell Nitro 10x42 Binoculars,749.99,BBBN1042G,BBBN1042G,,
sport-optics,Nikon,Nikon Prostaff 5 82A Angled Fieldscope,849.99,BDA321FA,BDA321FA,,
sport-optics,Nikon,Nikon Monarch M5 10x42 ED Waterproof Central Focus Binocular,899.00,BAA911YA,BAA911YA,,
sport-optics,Bushnell,Bushnell Engage 10x42 Binoculars,929.99,BBBEN1042,BBBEN1042,,
sport-optics,Steiner,Steiner Navigator Pro 7x50,999.00,STN7655-0900,STN7655-0900,,
sport-optics,Nikon,Nikon Monarch M7 8x30 ED Waterproof Central Focus Binocular,1169.00,BAA900SA,BAA900SA,,
sport-optics,Steiner,Steiner Navigator Pro 7x50c with compass,1199.99,STN7155-0950,STN7155-0950,,
sport-optics,Nikon,Nikon Monarch M7 10X42 ED Waterproof Central Focus Binocular,1239.00,BAA903SA,BAA903SA,,
accessories,Celestron,"Celestron 1.25"" Moon / Planet Filter",35.00,94119-A,94119-A,,
accessories,Saxon Optics,"Saxon 1.25"" Neutral Density Moon / Planet Filter",35.00,643003,643003,,
accessories,Saxon Optics,"Saxon 1.25"" Moon & Skyglow Filter",45.00,643005 Glow,643005 Glow,,
accessories,Saxon Optics,saxon ScopePix Smartphone Adapter 2s,69.99,645011,645011,,
accessories,Carson,Carson HookUpz 2.0 Smartphone Optics Adapter IS-200,189.00,IS-200,IS-200,,
accessories,Celestron,Celestron NexYZ 3-Axis Universal Smartphone adapter,175.00,81055,81055,,
accessories,Celestron,Celestron Night Vision Flashlight,49.99,93588,93588,,
accessories,Celestron,Celestron Car Battery Adapter (FOR ALL NEXSTARS),69.99,18769,18769,,
accessories,Saxon Optics,"Saxon 1.25"" Colour Planetary Filter Set",129.00,643905,643905,,
accessories,Celestron,"Celestron 1.25"" Eyepiece and Filter Kit",599.00,94303,94303,,
accessories,Celestron,"Celestron AstroMaster Eyepiece and Filter Kit 1.25""",229.00,94307,94307,,
accessories,Celestron,"Celestron PowerSeeker Eyepiece and Filter Accessory Kit 1.25""",139.00,94306-p,94306-p,,
accessories,Saxon Optics,"Saxon 1.25"" 2x Short-Focus Barlow Lens with Camera Adapter",129.00,530005,530005,,
accessories,Celestron,"Celestron OMNI 2x Barlow Lens - 1.25""",119.00,93326,93326,,
accessories,Saxon Optics,"Saxon 1.25"" 2x Short-Focus Barlow Lens",109.00,530002,530002,,
accessories,Sky-Watcher,"Sky-Watcher 2x Barlow & Universal 1.25"" T-Adapter",119.00,SWA-TBarlow,SWA-TBarlow,,
accessories,Celestron,"Celestron Universal 1.25"" 2x Barlow and T-Adapter",129.00,93640,93640,,
accessories,Celestron,"Celestron X-Cel LX 2x Barlow Lens - 1.25""",219.00,93529,93529,,
accessories,Saxon Optics,"Saxon 1.25"" 3x Short-Focus Barlow Lens",149.00,530003,530003,,
accessories,Celestron,"Celestron X-Cel LX 3x Barlow Lens - 1.25""",249.00,93428,93428,,
accessories,Celestron,Celestron Collimation Eyepiece,110.00,94182,94182,,
accessories,Sky-Watcher,Sky-Watcher Newtonian Collimation Eyepiece,99.99,SWA-NColl,SWA-NColl,,
accessories,Saxon Optics,"saxon 1.25"" Laser Collimator with 2"" Adapter",165.00,651002,651002,,
accessories,Saxon Optics,Saxon mini-Dob Accessory Pack,99.00,,,,
accessories,Saxon Optics,"saxon 1.25"" Deluxe Mirror Star Diagonal (90 degree)",99.99,540013,540013,,
accessories,Saxon Optics,"saxon 1.25"" Economic Mirror Star Diagonal (90 degree)",49.99,540003,540003,,
accessories,Celestron,"Celestron 45 Degree Erect Image Diagonal 1.25""",99.00,94112-a,94112-a,,
accessories,Saxon Optics,"Saxon 1.25"" Erect Image Diagonal (45 degree)",99.00,515014,515014,,
accessories,Sky-Watcher,"Sky-Watcher 90 Degree Erect Image Diagonal 1.25""",99.00,SWA-90EID,SWA-90EID,,
accessories,Saxon Optics,"Saxon 1.25"" Erect Image Diagonal (90 degree)",129.00,515020,515020,,
accessories,Saxon Optics,"Saxon 1.25"" Moon Filter -Blue Colour",35.00,643004,643004,,
accessories,Saxon Optics,"Saxon 1.25"" Erecting Eyepiece 1.5x (Short Focal Point)",69.00,515008,515008,,
accessories,Saxon Optics,"Saxon 1.25"" 10mm Erecting Eyepiece",99.00,515101,515101,,
accessories,Saxon Optics,"Saxon 7-21mm 1.25"" WA Zoom Eyepiece",199.00,514021,514021,,
accessories,Celestron,"Celestron 8-24mm Zoom 1.25"" Eyepiece",249.00,93230,93230,,
accessories,Sky-Watcher,Sky-Watcher Solar Filters for Reflectors 114mm-300mm,99.00,SWA-Sunn114,SWA-Sunn114,,
accessories,Saxon Optics,Saxon Solar Filter 90mm,85.00,,,,
