type,brand,name,price,external_sku,internal_sku,simular_sku,tracked_sku
weather-stations,Aercus Instruments,Aercus Instruments WS3085 Wireless Weather Station,338.99,WS3085N,0,0,FALSE
weather-stations,Aercus Instruments,Aercus Instruments WS2085N Wireless Weather Station,280,WS2085N,0,0,FALSE
weather-stations,Aercus Instruments,Aercus Instruments - Wireless Professional Rain Gauge with In/Out Temperature,80,KW9015N,0,0,FALSE
weather-stations,Aercus Instruments,Aercus Instruments WS1173 - Desktop Wireless Weather Station,68.99,WS1173N,0,0,FALSE
weather-stations,Davis,Davis Wireless Vantage Pro2 Plus w/ Fan Aspirated Shield & WeatherLink Console,4860,6263NZ,0,0,TRUE
weather-stations,Davis,Davis Wireless Vantage Pro2 Plus & WeatherLink Console,4140,6262NZ,0,0,TRUE
weather-stations,Davis,Davis Wireless Vantage Pro2 w/ Fan Aspirated Shield & WeatherLink Console,3348,6253NZ,0,0,TRUE
weather-stations,Davis,Davis Vantage Pro2 Plus Sensor Suite - Wireless with 24hr Fan Aspirated Radiation Shield,3231,6328NZ,0,0,TRUE
weather-stations,Davis,Davis Vantage Pro2 PLUS - Cabled Weather Station,2740,6162c,6162C,0,FALSE
weather-stations,Davis,Davis Vantage Pro2 Plus Sensor Suite - Wireless,2629,6327NZ,0,0,FALSE
weather-stations,Davis,Wireless Vantage Pro2 & WeatherLink Console,2616,6252NZ,6252NZ,0,FALSE
weather-stations,Davis,Davis Vantage Pro2 GroWeather Sensor Suite - Wireless with 24hr Fan Aspirated Shield,2574,6825NZ,0,0,FALSE
weather-stations,Davis,Davis Vantage Pro2 Plus Sensor Suite - Cabled,2464,6327C,0,0,FALSE
weather-stations,Davis,Davis Vantage Pro2 GroWeather Sensor Suite - Wireless,1971,6820NZ,0,0,FALSE
weather-stations,Davis,Davis Vantage Vue & WeatherLink Console,1824,6242NZ,0,0,TRUE
weather-stations,Davis,Davis Vantage Pro2 GroWeather Sensor Suite - Cabled,1807,6820C,6820C,0,FALSE
weather-stations,Davis,Davis Complete Wireless Soil Moisture & Temperature Station (with sensors),1807,6345CS,0,0,FALSE
weather-stations,Davis,Davis Vantage Pro2 Cabled Weather Station with Standard Radiation Shield,1615,6152c,0,0,FALSE
weather-stations,Davis,Davis Vantage Vue & WeatherLink Live Bundle with Console,1485,6120M,6120,0,FALSE
weather-stations,Davis,Davis Vantage Pro2 Sensor Suite - Wireless,1369,6322NZ,6322,0,FALSE
weather-stations,Davis,Davis Vantage Pro2 Sensor Suite - Cabled,1205,6322C,0,0,FALSE
weather-stations,Davis,Davis Vantage Vue Sensor Suite & WeatherLink Live Bundle,1100,6110M,6110,0,FALSE
weather-stations,Davis,Davis WeatherLink Console,799,6313USB,6313,0,FALSE
weather-stations,Davis,Davis Vantage Vue ISS - Wireless,767,6357M,6357,0,FALSE
weather-stations,Davis,Davis Vantage Pro2 Console (Cabled),734,6312C,0,0,FALSE
weather-stations,Davis,Davis 6345NZ Wireless Leaf & Soil Moisture/Temperature Station (no sensors),734,6345NZ,6345,0,FALSE
weather-stations,Davis,Davis Cabled Weather Envoy,515,6316C,0,0,FALSE
weather-stations,Davis,Davis WeatherLink for Windows - Serial port connection,493,6510SER,0,0,FALSE
weather-stations,Davis,Davis WeatherLink for Windows - USB port connection,493,6510USB,6510USB,0,FALSE
weather-stations,Davis,Davis AirLink Air Quality Monitor,471,7210,0,0,FALSE
weather-stations,Davis,Davis Replacement PM Sensor Kit for AirLink,189,7220,0,0,FALSE
weather-stations,Konus,Konus MeteoWheel Weather Station,70,6188,0,0,FALSE
weather-stations,Konus,Konus MeteoMax Weather Station,60,6190,0,0,FALSE
