type,brand,name,price,external_sku,internal_sku,simular_sku,tracked_sku
full-wireless-weather-stations,Tesa,Tesa WS5300 Professional Weather Station,179.99,WS5300,WS5300,,
full-wireless-weather-stations,Tesa,Tesa WS1081 Ver3. Complete Weather Station with Solar Panel & PC interface,229.00,Tws1081,Tws1081,,
full-wireless-weather-stations,Tesa,"Tesa WS-2980c PRO TESA Prof 7"" Colour WIFI Weather Station",339.00,Tws2980,Tws2980,,
full-wireless-weather-stations,La Crosse,La Crosse V40-PROV2 WiFi -Complete Colour Weather Station,399.00,V40-PRO,V40-PRO,,
full-wireless-weather-stations,Bresser - Explore Scientific,Explore Scientific 5-In-1 Professional Weather Station,499.00,WSX1001-119640,WSX1001-119640,,
full-wireless-weather-stations,Davis,Davis Vantage Vue - Wireless 6250,970.00,6250,6250,,
full-wireless-weather-stations,Davis,BUNDLE Vantage Vue NO Console & WeatherLink Live,1099.00,6110,6110,,
full-wireless-weather-stations,Bresser - Explore Scientific,Explore Scientific 7-In-1 Professional Weather Station,1099.00,WSX3001-119641,WSX3001-119641,,
full-wireless-weather-stations,Davis,BUNDLE - Vantage Vue with Console & WeatherLink Live,1499.00,6120,6120,,
full-wireless-weather-stations,Davis,Davis Vantage Pro2 - Wireless 6152,1760.00,6152nz,6152nz,,
full-wireless-weather-stations,Davis,Davis Wireless Vantage Pro2 & Weatherlink Console 6252NZ,2180.00,6252NZ,6252NZ,,
full-wireless-weather-stations,Davis,Davis Vantage Pro2 - Wireless 6153 - with 24hr Fan Aspirated Radiation Shield,2335.00,6153-oos,6153-oos,,
full-wireless-weather-stations,Davis,Davis Vantage Pro2 PLUS - Cabled 6162C,3120.00,6162C,6162C,,
partial-wireless-weather-stations,La Crosse,La Crosse C79790 - Professional WIFI Wireless Weather Station,339.00,C79790,C79790,,
partial-wireless-weather-stations,La Crosse,La Crosse V22-WRTH - WIFI Weather Station,370.00,V22-WRTH,V22-WRTH,,
partial-wireless-weather-stations,La Crosse,La Crosse S82950 WiFi Wind w/ AccuWeather Forecast,279.00,S82950,S82950,,
partial-wireless-weather-stations,La Crosse,La Crosse V21-WTH WIFI Wind Speed & Temperature Humidity Station,269.00,v21-WTH,v21-WTH,,
partial-wireless-weather-stations,La Crosse,La Crosse 327-1417 Wind Speed Station with Temp & Humidity,219.00,327-1417v2,327-1417v2,,
partial-wireless-weather-stations,Bresser - Explore Scientific,Explore Scientific Rain Gauge with Outdoor Temperature,109.00,RGT1001-120606,RGT1001-120606,,
partial-wireless-weather-stations,Bresser - Explore Scientific,Explore Scientific Large Screen Personal Weather Station,99.95,WSH4002-119639,WSH4002-119639,,
partial-wireless-weather-stations,La Crosse,La Crosse - V10-TH WiFi Colour Weather station,189.00,V10-TH,V10-TH,,
partial-wireless-weather-stations,La Crosse,La Crosse Digital Rain Monitor with Indoor Temperature - 724-1409,99.99,724-1409,724-1409,,
partial-wireless-weather-stations,La Crosse,La Crosse Digital Rain Gauge with Indoor/Outdoor Temperature & Backlight 724-1415BL,129.99,724-1415BL,724-1415BL,,
partial-wireless-weather-stations,Bresser - Explore Scientific,Explore Scientific Touch Key Advanced Weather Station,99.95,WSC4009-120605,WSC4009-120605,,
partial-wireless-weather-stations,Bresser - Explore Scientific,Explore Scientific Projection Clock with Weather Forecast Display and Outdoor Sensor,109.00,RPW3008-,RPW3008-,,
partial-wireless-weather-stations,Bresser - Explore Scientific,Explore Scientific Projection Clock,69.95,RDP1001-119648,RDP1001-119648,,
partial-wireless-weather-stations,La Crosse,La Crosse Pop-Up Bar Projection Alarm Clock (616-1950),99.99,616-1950,616-1950,,
partial-wireless-weather-stations,iROX,iROX LAVA PROJECTION CLOCK,99.00,LAVA,LAVA,,
partial-wireless-weather-stations,La Crosse,La Crosse WIFI Projection Alarm Clock with AccuWeather Forecast C82929,175.00,C82929,C82929,,
partial-wireless-weather-stations,La Crosse,La Crosse Projection Alarm Clock Outdoor Temperature (616-143),124.99,616-143,616-143,,
partial-wireless-weather-stations,Bresser - Explore Scientific,Explore Scientific Indoor-Outdoor Thermometer,59.95,WSH002-121104,WSH002-121104,,
partial-wireless-weather-stations,La Crosse,La Crosse WS9500,99.00,ws9500,ws9500,,
partial-wireless-weather-stations,La Crosse,La Crosse Digital Rain Monitor with Indoor Temperature - 724-2310,105.00,724-2310,724-2310,,
wifi-enabled-weather-stations,Tesa,"Tesa WS-2980c PRO TESA Prof 7"" Colour WIFI Weather Station",339.00,Tws2980,Tws2980,,
wifi-enabled-weather-stations,La Crosse,La Crosse V40-PROV2 WiFi -Complete Colour Weather Station,399.00,V40-PRO,V40-PRO,,
wifi-enabled-weather-stations,Davis,BUNDLE - Vantage Vue with Console & WeatherLink Live,1499.00,6120,6120,,
