name,brand,price,external_sku,internal_sku,simular_sku,tracked
TESA WS2900C-PRO 7 Inch Colour Wi-Fi Weather Station,Tesa,299.0,WS2900C-PRO,0,Tws2980,FALSE
Tesa WS1081 Ver3 Touch Screen with PC interface Weather Station,Tesa,236.6,WS1081,Tws1081,0,FALSE
Tesa WS2980C LCD Display Screen Weather Station,Tesa,338.99,WS2980CLCD,Tws2980,0,FALSE
La Crosse WiFi Projection Alarm Clock with AccuWeather,LaCrosse,173.12,C82929,C82929,0,FALSE
La Crosse Professional WIFI Colour Weather Station,LaCrosse,338.99,C79790,C79790,0,FALSE
Davis Vantage Vue & WeatherLink Live Bundle with Console,Davis,1485.0,6120M,6120,0,FALSE
La Crosse Digital Rain Monitor with Indoor Temperature,LaCrosse,80.66,724-1409,724-1409,0,FALSE
La Crosse V42-PRO-AU La Crosse Professional WIFI Wireless Weather Station,LaCrosse,399.0,V42-PRO-AU,0,0,TRUE
Tesa Complete Outdoor Unit For WS1081,Tesa,189.0,WS1081-OUTDOOR,TX81RW,0,FALSE
La Crosse 724-1415BL Digital Rain Gauge with Backlight,LaCrosse,134.87,724-1415BL,724-1415BL,0,FALSE
Davis Wireless Vantage Pro2 Plus & WeatherLink Console,Davis,4140.0,6262NZ,0,0,TRUE
La Crosse WIFI Colour LCD Weather Station,LaCrosse,181.87,V10-TH,V10-TH,0,FALSE
La Crosse WIFI Wind Speed Colour Weather Station,LaCrosse,262.84,V21-WTH,v21-WTH,0,FALSE
La Crosse Digital Rain Monitor with Indoor Temperature,LaCrosse,103.56,724-2310,724-2310,0,FALSE
Davis Wireless Vantage Pro2 w/ Fan Aspirated Shield & WeatherLink Console,Davis,3348.0,6253NZ,0,0,TRUE
La Crosse WIFI Wind Weather Station AccuWeather Forecast,LaCrosse,284.0,S82950,S82950,0,FALSE
La Crosse WIFI Wind Speed Rain Colour Weather Station,LaCrosse,340.0,V22-WRTH,V22-WRTH,0,FALSE
Davis Vantage Pro2 Plus Sensor Suite - Wireless with 24hr Fan Aspirated Radiation Shield,Davis,3231.0,6328NZ,0,0,TRUE
Davis Vantage Pro2 GroWeather Sensor Suite - Cabled,Davis,1807.0,6820C,6820C,0,FALSE
Davis Vantage Pro2 Sensor Suite - Wireless,Davis,1369.0,6322NZ,6322,0,FALSE
Davis Vantage Vue ISS - Wireless,Davis,767.0,6357M,6357,0,FALSE
Davis WeatherLink Console,Davis,799.0,6313USB,6313,0,FALSE
Davis WeatherLink for Windows - USB port connection,Davis,493.0,6510USB,6510USB,0,FALSE
Tesa Ws2980c Pro Weather Station,Tesa,389.0,WS2900,Tws2980,0,FALSE
Wireless Vantage Pro2 & WeatherLink Console,Davis,2616.0,6252NZ,6252NZ,0,FALSE
Davis 6345NZ Wireless Leaf & Soil Moisture/Temperature Station (no sensors),Davis,734.0,6345NZ,6345,0,FALSE
Davis Wireless Vantage Pro2 Plus w/ Fan Aspirated Shield & WeatherLink Console,Davis,4860.0,6263NZ,0,0,TRUE
Davis Vantage Pro2 PLUS - Cabled Weather Station,Davis,2740.0,6162c,6162C,0,FALSE
Davis Vantage Vue & WeatherLink Console,Davis,1824.0,6242NZ,0,0,TRUE
